name,id,nametype,type,class,group,mass (g),fall,year,reclat,reclong,GeoLocation
"Meteorite Hills 00912,16146,Valid,Stony,Ordinary,H6,27.62,Found,2000-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills 00913,16147,Valid,Stony,Ordinary,H6,17.72,Found,2000-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills 00914,16148,Valid,Stony,Ordinary,LL6,12.95,Found,2000-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills 00915,16149,Valid,Stony,Ordinary,LL6,11.43,Found,2000-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills 00916,16150,Valid,Stony,Ordinary,H6,15.29,Found,2000-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills 00917,16151,Valid,Stony,Ordinary,LL5,43.93,Found,2000-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills 00918,16152,Valid,Stony,Ordinary,L5,15.03,Found,2000-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills 00919,16153,Valid,Stony,Ordinary,LL6,7.41,Found,2000-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills 00944,16178,Valid,Stony,Ordinary,L4,19.07,Found,2000-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills 00968,16202,Valid,Stony,Ordinary,L4,9.63,Found,2000-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills 96501,16560,Valid,Stony,Ordinary,L6,4939.3,Found,1996-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78001,16597,Valid,Stony,Ordinary,H4,624.4,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78002,16598,Valid,Stony,Ordinary,L6,542.2,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78003,16599,Valid,Stony,Ordinary,L6,1726,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78004,16600,Valid,Stony,Ordinary,L6,30.3,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78005,16601,Valid,Stony,Ordinary,L6,172,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78006,16602,Valid,Stony,Ordinary,H6,409.6,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78007,16603,Valid,Stony,Ordinary,H6,174.8,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78008,16604,Valid,Stony,Primitive Achondrites,Ureilite,125.5,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78009,16605,Valid,Stony,Ordinary,H5,28.8,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78010,16606,Valid,Stony,Ordinary,H5,233.5,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78011,16607,Valid,Stony,Ordinary,H5,115.7,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78012,16608,Valid,Stony,Ordinary,H5,86.3,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78013,16609,Valid,Stony,Ordinary,H6,131.9,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78014,16610,Valid,Stony,Ordinary,H6,100.5,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78015,16611,Valid,Stony,Ordinary,L5,36.8,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78016,16612,Valid,Stony,Ordinary,H6,114.1,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78017,16613,Valid,Stony,Ordinary,H6,46.9,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78018,16614,Valid,Stony,Ordinary,H5,81.9,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78019,16615,Valid,Stony,Ordinary,H6,91.1,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78020,16616,Valid,Stony,Ordinary,H6,63.7,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78021,16617,Valid,Stony,Ordinary,L6,22.6,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78022,16618,Valid,Stony,Ordinary,H6,48.5,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78023,16619,Valid,Stony,Ordinary,H6,55.6,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78024,16620,Valid,Stony,Ordinary,H6,22.2,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78025,16621,Valid,Stony,Ordinary,H6,58.2,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78026,16622,Valid,Stony,Ordinary,H6,75.2,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78027,16623,Valid,Stony,Ordinary,H6,52.5,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills A78028,16624,Valid,Stony,Ordinary,L6,20657,Found,1978-01-01,-79.68333,155.75,""(-79.683330, 155.750000)"""
"Meteorite Hills 01001,16234,Valid,Stony,Ordinary,LL6,1591,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01002,16235,Valid,Stony,Ordinary,L5,3922.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01003,16236,Valid,Stony,Ordinary,LL5,2835,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01004,16237,Valid,Stony,Ordinary,LL5,1554.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01005,16238,Valid,Stony,Ordinary,L5,19000,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01006,16239,Valid,Stony,Ordinary,H6,409.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01007,16240,Valid,Stony,Ordinary,L6,390.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01008,16241,Valid,Stony,Ordinary,LL5,323.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01009,16242,Valid,Stony,Ordinary,LL5,343,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01010,16243,Valid,Stony,Ordinary,LL6,239.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01011,16244,Valid,Stony,Ordinary,LL5,136.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01012,16245,Valid,Stony,Ordinary,L5,254.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01013,16246,Valid,Stony,Ordinary,L5,151.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01014,16247,Valid,Stony,Ordinary,H5,180.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01015,16248,Valid,Stony,Ordinary,LL5,211.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01016,16249,Valid,Stony,Ordinary,LL5,159.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01017,16250,Valid,Stony,Carbonaceous,CV3-an,238,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01018,16251,Valid,Stony,Enstatite,EH3,222.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01019,16252,Valid,Stony,Ordinary,L5,164.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01020,16253,Valid,Stony,Ordinary,H6,739.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01021,16254,Valid,Stony,Ordinary,LL5,1116.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01022,16255,Valid,Stony,Ordinary,LL5,1060.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01023,16256,Valid,Stony,Ordinary,H6,452.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01024,16257,Valid,Stony,Ordinary,L5,362.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01025,16258,Valid,Stony,Ordinary,LL5,518.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01026,16259,Valid,Stony,Ordinary,LL5,196.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01027,16260,Valid,Stony,Ordinary,L4,430.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01028,16261,Valid,Stony,Ordinary,LL5,164.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01029,16262,Valid,Stony,Ordinary,LL5,218.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01030,16263,Valid,Stony,Ordinary,LL5,1360.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01031,16264,Valid,Stony,Ordinary,L5,443,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01032,16265,Valid,Stony,Ordinary,L5,247,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01033,16266,Valid,Stony,Ordinary,L5,323.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01034,16267,Valid,Stony,Ordinary,L6,168.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01035,16268,Valid,Stony,Ordinary,LL6,151.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01036,16269,Valid,Stony,Ordinary,LL6,329.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01037,16270,Valid,Stony,Ordinary,LL6,421,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01038,16271,Valid,Stony,Ordinary,LL6,388,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01039,16272,Valid,Stony,Ordinary,L5,356.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01040,16273,Valid,Stony,Ordinary,LL5,216.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01041,16274,Valid,Stony,Ordinary,L5,198.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01042,16275,Valid,Stony,Ordinary,L5,160.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01043,16276,Valid,Stony,Ordinary,LL6,227.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01044,16277,Valid,Stony,Ordinary,LL6,127.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01045,16278,Valid,Stony,Ordinary,LL5,201,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01046,16279,Valid,Stony,Ordinary,LL5,169,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01047,16280,Valid,Stony,Ordinary,L5,263.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01048,16281,Valid,Stony,Ordinary,L5,198.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01049,16282,Valid,Stony,Ordinary,LL6,321.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01050,16283,Valid,Stony,Ordinary,LL6,1375.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01051,16284,Valid,Stony,Ordinary,L3.6,621.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01052,16285,Valid,Stony,Ordinary,L5,619.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01053,16286,Valid,Stony,Ordinary,L5,460.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01054,16287,Valid,Stony,Ordinary,L5,358.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01055,16288,Valid,Stony,Ordinary,LL5,224.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01056,16289,Valid,Stony,Ordinary,L3.6,397.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01057,16290,Valid,Stony,Ordinary,L3.6,189.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01058,16291,Valid,Stony,Ordinary,L5,216.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01059,16292,Valid,Stony,Ordinary,L5,441.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01060,16293,Valid,Stony,Ordinary,LL5,351.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01061,16294,Valid,Stony,Ordinary,H5,205.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01062,16295,Valid,Stony,Ordinary,L5,194,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01063,16296,Valid,Stony,Ordinary,H5,173,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01064,16297,Valid,Stony,Ordinary,H6,242.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01065,16298,Valid,Stony,Ordinary,L5,395.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01066,16299,Valid,Stony,Ordinary,LL5,570.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01067,16300,Valid,Stony,Ordinary,LL5,125.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01068,16301,Valid,Stony,Ordinary,LL5,186.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01069,16302,Valid,Stony,Ordinary,L5,117.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01070,16303,Valid,Stony,Carbonaceous,CM1,40.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01071,16304,Valid,Stony,Carbonaceous,CM2,4.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01072,16305,Valid,Stony,Carbonaceous,CM2,38.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01073,16306,Valid,Stony,Carbonaceous,CM1,15.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01074,16307,Valid,Stony,Carbonaceous,CV3,46.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01075,16308,Valid,Stony,Carbonaceous,CM2,29.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01076,16309,Valid,Stony,Carbonaceous,CM2,9.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01077,16310,Valid,Stony,Carbonaceous,CM2,18.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01078,16311,Valid,Stony,Carbonaceous,CM2,19.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01079,16312,Valid,Stony,Carbonaceous,CM1,11.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01080,16313,Valid,Stony,Carbonaceous,CV3,3.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01083,16316,Valid,Stony,Primitive Achondrites,Ureilite,12.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01085,16318,Valid,Stony,Primitive Achondrites,Ureilite-an,30.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01088,16321,Valid,Iron,Achondrites,""Iron, IIIAB"",5.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01089,16322,Valid,Iron,Achondrites,""Iron, IIIAB"",4.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01092,16325,Valid,Stony,Ordinary,H6,8.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01093,16326,Valid,Stony,Ordinary,H6,70,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01094,16327,Valid,Stony,Ordinary,L5,15.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01095,16328,Valid,Stony,Ordinary,LL6,45,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01096,16329,Valid,Stony,Ordinary,LL5,48.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01097,16330,Valid,Stony,Ordinary,LL5,41.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01098,16331,Valid,Stony,Ordinary,H5,21.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
