name,id,nametype,type,class,group,mass (g),fall,year,reclat,reclong,GeoLocation
"Meteorite Hills 01112,16345,Valid,Stony,Ordinary,L5,54.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01113,16346,Valid,Stony,Ordinary,L4,97.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01114,16347,Valid,Stony,Ordinary,LL5,56.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01115,16348,Valid,Stony,Ordinary,L5,111.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01116,16349,Valid,Stony,Ordinary,LL5,62.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01117,16350,Valid,Stony,Ordinary,LL4,84.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01118,16351,Valid,Stony,Ordinary,L5,82.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01119,16352,Valid,Stony,Ordinary,H5,114.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01120,16353,Valid,Stony,Ordinary,H6,78.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01121,16354,Valid,Stony,Ordinary,L5,93.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01122,16355,Valid,Stony,Ordinary,LL5,143,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01123,16356,Valid,Stony,Ordinary,LL5,35,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01124,16357,Valid,Stony,Ordinary,H5,41.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01125,16358,Valid,Stony,Ordinary,H6,26.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01126,16359,Valid,Stony,Ordinary,L5,12.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01127,16360,Valid,Stony,Ordinary,LL5,15.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01128,16361,Valid,Stony,Ordinary,L5,14,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01129,16362,Valid,Stony,Ordinary,L5,7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01130,16363,Valid,Stony,Ordinary,L5,58.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01131,16364,Valid,Stony,Ordinary,L5,15.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01132,16365,Valid,Stony,Ordinary,LL5,23.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01133,16366,Valid,Stony,Ordinary,LL6,16.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01134,16367,Valid,Stony,Ordinary,H5,10.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01135,16368,Valid,Stony,Ordinary,L5,43.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01136,16369,Valid,Stony,Ordinary,H5,19.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01138,16370,Valid,Stony,Ordinary,LL6,26.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01139,16371,Valid,Stony,Ordinary,L5,60.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01140,16372,Valid,Stony,Ordinary,LL5,80.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01141,16373,Valid,Stony,Ordinary,LL5,41.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01142,16374,Valid,Stony,Ordinary,H5,65.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01143,16375,Valid,Stony,Ordinary,H6,44,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01144,16376,Valid,Stony,Ordinary,LL5,29.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01145,16377,Valid,Stony,Ordinary,LL5,19.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01146,16378,Valid,Stony,Ordinary,L5,4.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01147,16379,Valid,Stony,Ordinary,LL5,34.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01148,16380,Valid,Stony,Ordinary,L5,18,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01149,16381,Valid,Stony,No Class,R3,10.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01150,16382,Valid,Stony,Ordinary,LL5,22.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01151,16383,Valid,Stony,Ordinary,LL6,18.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01152,16384,Valid,Stony,Ordinary,H5,11.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01153,16385,Valid,Stony,Ordinary,LL6,4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01154,16386,Valid,Stony-Iron,Achondrites,Mesosiderite,0.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01155,16387,Valid,Stony,Ordinary,L5,12.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01156,16388,Valid,Stony,Ordinary,L6,12.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01157,16389,Valid,Stony,Ordinary,L5,3.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01158,16390,Valid,Stony,Ordinary,H5,0.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01159,16391,Valid,Stony,Ordinary,H5,11.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01160,16392,Valid,Stony,Ordinary,LL5,35.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01161,16393,Valid,Stony,Ordinary,L5,92.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01162,16394,Valid,Stony,Ordinary,LL5,33.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01163,16395,Valid,Stony,Ordinary,LL5,29.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01164,16396,Valid,Stony,Ordinary,L5,34.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01165,16397,Valid,Stony,Ordinary,LL5,31.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01166,16398,Valid,Stony,Ordinary,L5,40,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01167,16399,Valid,Stony,Ordinary,LL6,43.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01168,16400,Valid,Stony,Ordinary,L5,11.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01169,16401,Valid,Stony,Ordinary,LL6,65.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01170,16402,Valid,Stony,Ordinary,L5,34.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01171,16403,Valid,Stony,Ordinary,H6,32.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01172,16404,Valid,Stony,Ordinary,L5,13,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01173,16405,Valid,Stony,Ordinary,H6,9.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01174,16406,Valid,Stony,Ordinary,LL5,26.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01175,16407,Valid,Stony,Ordinary,H6,49.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01176,16408,Valid,Stony,Ordinary,H6,24.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01177,16409,Valid,Stony,Ordinary,H6,15.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01178,16410,Valid,Stony,Ordinary,H6,11.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01179,16411,Valid,Stony,Ordinary,H5,12.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01180,16412,Valid,Stony,Ordinary,H5,11.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01181,16413,Valid,Stony,Ordinary,LL5,63.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01182,16414,Valid,Stony,Ordinary,H3.8,69.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01183,16415,Valid,Stony,Enstatite,EH3,1.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01184,16416,Valid,Stony,Ordinary,H5,1.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01185,16417,Valid,Stony,Ordinary,LL6,79.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01186,16418,Valid,Stony,Ordinary,L5,23.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01187,16419,Valid,Stony,Ordinary,L5,38.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01188,16420,Valid,Stony,Ordinary,L5,25.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01189,16421,Valid,Stony,Ordinary,LL5,11.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01190,16422,Valid,Stony,Ordinary,LL6,7.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01191,16423,Valid,Stony,Ordinary,LL5,65.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01192,16424,Valid,Stony,Ordinary,L6,25.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01193,16425,Valid,Stony,Ordinary,LL5,32,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01194,16426,Valid,Stony,Ordinary,LL5,47.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01195,16427,Valid,Stony,Primitive Achondrites,Acapulcoite,98.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01196,16428,Valid,Stony,Ordinary,H5,58.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01197,16429,Valid,Stony,Ordinary,H6,46.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01198,16430,Valid,Stony,Primitive Achondrites,Acapulcoite,98.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01199,16431,Valid,Stony,Ordinary,L5,18.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01200,16432,Valid,Stony,Ordinary,L5,22.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01201,16433,Valid,Stony,Ordinary,L5,27.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01202,16434,Valid,Stony,Ordinary,L5,14.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01203,16435,Valid,Stony,Ordinary,L5,45.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01204,16436,Valid,Stony,Ordinary,L5,124,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01205,16437,Valid,Stony,Ordinary,LL5,13.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01206,16438,Valid,Stony,Ordinary,H5,60.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01207,16439,Valid,Stony,Ordinary,LL5,45.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01208,16440,Valid,Stony,Ordinary,L5,41.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01209,16441,Valid,Stony,Ordinary,L5,6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01210,16442,Valid,Stony,Achondrites,Lunar (anorth),22.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01211,16443,Valid,Stony,Ordinary,L3.6,10.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01212,16444,Valid,Stony,Primitive Achondrites,Acapulcoite,31.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01213,16445,Valid,Stony,Ordinary,H5,14.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01214,16446,Valid,Stony,Ordinary,L5,28.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01215,16447,Valid,Stony,Ordinary,L5,159.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01216,16448,Valid,Stony,Ordinary,L5,8.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01217,16449,Valid,Stony,Ordinary,H5,47.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01218,16450,Valid,Stony,Ordinary,LL5,8.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01219,16451,Valid,Stony,Ordinary,LL5,23.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01220,16452,Valid,Stony,Ordinary,LL5,12.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01221,16453,Valid,Stony,Ordinary,H6,1.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01222,16454,Valid,Stony,Ordinary,L5,10.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01223,16455,Valid,Stony,Ordinary,LL5,14.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01224,16456,Valid,Stony,Ordinary,H6,14.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01225,16457,Valid,Stony,Ordinary,LL6,10.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01226,16458,Valid,Stony,Ordinary,H6,14.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01227,16459,Valid,Stony,Ordinary,L5,17.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01228,16460,Valid,Stony,Ordinary,LL6,13.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01229,16461,Valid,Stony,Ordinary,H6,8.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01230,16462,Valid,Stony,Ordinary,H5,9.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01231,16463,Valid,Stony,Ordinary,LL5,7.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01232,16464,Valid,Stony,Primitive Achondrites,Acapulcoite,7.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01233,16465,Valid,Stony,Ordinary,L5,10.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01234,16466,Valid,Stony,Ordinary,L5,7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01235,16467,Valid,Stony,Ordinary,LL5,3.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01236,16468,Valid,Stony,Ordinary,L5,11.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01237,16469,Valid,Stony,Ordinary,L5,13.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01238,16470,Valid,Stony,Ordinary,L5,12.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01239,16471,Valid,Stony,Ordinary,L5,18.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01240,16472,Valid,Stony,Ordinary,L5,60.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01241,16473,Valid,Stony,Ordinary,L5,45.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01242,16474,Valid,Stony,Ordinary,H6,105.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01243,16475,Valid,Stony,Ordinary,H6,11.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01244,16476,Valid,Stony,Primitive Achondrites,Acapulcoite,76.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01245,16477,Valid,Stony,Ordinary,H5,54.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01246,16478,Valid,Stony,Ordinary,LL5,38,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01247,16479,Valid,Stony,Ordinary,H5,44.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01248,16480,Valid,Stony,Ordinary,LL5,20.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01249,16481,Valid,Stony,Ordinary,H5,1.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01250,16482,Valid,Stony,Ordinary,L5,4.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01251,16483,Valid,Stony,Ordinary,H6,21.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01252,16484,Valid,Stony,Ordinary,LL5,13,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01253,16485,Valid,Stony,Ordinary,H6,103.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01254,16486,Valid,Stony,Ordinary,H6,19,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01255,16487,Valid,Stony,Ordinary,L5,6.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01256,16488,Valid,Stony,Ordinary,LL6,167,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01257,16489,Valid,Stony,Ordinary,H5,1.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01258,16490,Valid,Stony,Ordinary,H6,26.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01259,16491,Valid,Stony,Ordinary,H6,31.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01260,16492,Valid,Stony,Ordinary,L5,25.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01261,16493,Valid,Stony,Ordinary,LL5,24.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01262,16494,Valid,Stony,Ordinary,L5,9.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01263,16495,Valid,Stony,Ordinary,H6,11.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01264,16496,Valid,Stony,Ordinary,H5,20.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01265,16497,Valid,Stony,Ordinary,H4,12.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01266,16498,Valid,Stony,Ordinary,H5,32.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01267,16499,Valid,Stony,Ordinary,LL6,4.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01268,16500,Valid,Stony,Ordinary,H6,8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01269,16501,Valid,Stony,Ordinary,H4,18.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01270,16502,Valid,Stony,Ordinary,L5,76.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01271,16503,Valid,Stony,Ordinary,L5,141.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01272,16504,Valid,Stony,Ordinary,L5,113.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01273,16505,Valid,Stony,Ordinary,H6,113.1,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01274,16506,Valid,Stony,Ordinary,H6,131.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01275,16507,Valid,Stony,Ordinary,L5,47.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01276,16508,Valid,Stony,Ordinary,H5,61.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01277,16509,Valid,Stony,Ordinary,L5,54.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01278,16510,Valid,Stony,Ordinary,LL6,43,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01279,16511,Valid,Stony,Ordinary,LL5,30.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01280,16512,Valid,Stony,Ordinary,L5,63.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01281,16513,Valid,Stony,Ordinary,L5,37.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01282,16514,Valid,Stony,Ordinary,L5,27.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01283,16515,Valid,Stony,Ordinary,H6,17,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01284,16516,Valid,Stony,Ordinary,LL5,19.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01285,16517,Valid,Stony,Ordinary,L5,53.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01286,16518,Valid,Stony,Ordinary,LL5,82.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01287,16519,Valid,Stony,Ordinary,L5,29.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01288,16520,Valid,Stony,Ordinary,L5,17.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01289,16521,Valid,Stony,Ordinary,LL5,23.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01290,16522,Valid,Stony,Ordinary,H6,17.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01291,16523,Valid,Stony,Ordinary,H6,18.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01292,16524,Valid,Stony,Ordinary,LL6,7.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01293,16525,Valid,Stony,Ordinary,H5,17.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01294,16526,Valid,Stony,Ordinary,H6,9.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01295,16527,Valid,Stony,Ordinary,H5,30,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01296,16528,Valid,Stony,Ordinary,H5,10.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01297,16529,Valid,Stony,Ordinary,LL6,19.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01298,16530,Valid,Stony,Ordinary,L5,7.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01299,16531,Valid,Stony,Ordinary,L5,14,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
